time,long,lat,speed,heading,odometer,power
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123331,-92.3571379,38.9240118,3.4,175.9,160582860.0,on
1455123377,-92.3569544,38.9233613,0.0,169.4,160582940.0,on
1455123377,-92.3569544,38.9233613,0.0,169.4,160582940.0,on
1455123377,-92.3569544,38.9233613,0.0,169.4,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
1455123385,-92.3569464,38.9233475,5.1,164.9,160582940.0,on
